layout_id,layout_name,layout_type,files,max_deliveries
custom:guillermo_custom_02:693051583eb0,guillermo_custom_02,custom,2,0
custom:guillermo_custom_03:d80cc180113a,guillermo_custom_03,custom,2,0
custom:guillermo_custom_04:d8b6465bec3a,guillermo_custom_04,custom,2,0
custom:guillermo_custom_05:117ae8c81cdf,guillermo_custom_05,custom,2,0
named:counter_circuit,counter_circuit,named,3,1
named:large_room,large_room,named,3,1
custom:salinas_custom_02:35bc9e429b00,salinas_custom_02,custom,2,1
custom:salinas_custom_05:dd8e115717ab,salinas_custom_05,custom,2,1
named:simple_tomato,simple_tomato,named,3,1
custom:cocina_abierta:f15f9cb6ac0a,cocina_abierta,custom,2,2
custom:cocina_redonda:eb7134c02656,cocina_redonda,custom,2,2
custom:esquina_l:645d57859a6f,esquina_l,custom,2,2
named:forced_coordination,forced_coordination,named,3,2
named:marshmallow_experiment,marshmallow_experiment,named,2,2
named:maze_kitchen,maze_kitchen,named,2,2
custom:sala_obstaculo:5ae1f6ebb689,sala_obstaculo,custom,2,2
custom:salinas_custom_04:85077017355c,salinas_custom_04,custom,2,2
named:small_corridor,small_corridor,named,3,2
named:tutorial_0,tutorial_0,named,3,2
named:tutorial_2,tutorial_2,named,2,2
named:asymmetric_advantages,asymmetric_advantages,named,3,3
named:coordination_ring,coordination_ring,named,3,3
custom:custom_island:e6e1643bad8c,custom_island,custom,2,3
custom:guillermo_custom_01:d6f8289eefd9,guillermo_custom_01,custom,2,3
named:m_room,m_room,named,2,3
custom:mini_reto:a9bcc6fcc80d,mini_reto,custom,2,3
custom:onion_easy_3:33807e4344c3,onion_easy_3,custom,2,3
custom:onion_hard_1:867ff3f38374,onion_hard_1,custom,2,3
custom:onion_hard_2:474a3dd1be07,onion_hard_2,custom,2,3
custom:salinas_custom_01:73a8964f4a1e,salinas_custom_01,custom,2,3
named:soup_coordination,soup_coordination,named,3,3
named:counter_circuit_o_1order,counter_circuit_o_1order,named,2,4
named:cramped_corridor,cramped_corridor,named,2,4
named:cramped_room,cramped_room,named,3,4
custom:custom_room:5bddf0abd653,custom_room,custom,2,4
custom:custom_tomato_paradise:c5f77da677bf,custom_tomato_paradise,custom,2,4
named:diagonal_run,diagonal_run,named,2,4
custom:duelo_1v1:69b5c433e09d,duelo_1v1,custom,2,4
custom:salinas_custom_03:ae3049477f65,salinas_custom_03,custom,2,4
custom:salon_amplio:0893f66eb6f3,salon_amplio,custom,2,4
custom:tomato_easy_1:cfc708749abe,tomato_easy_1,custom,2,4
custom:tomato_easy_2:36cb3d1092f2,tomato_easy_2,custom,2,4
custom:tomato_hard_1:ff87d9b6ee53,tomato_hard_1,custom,2,4
custom:tomato_hard_2:96cc36847461,tomato_hard_2,custom,2,4
named:tutorial_3,tutorial_3,named,3,4
custom:doble_olla:99bca7fde92e,doble_olla,custom,2,5
custom:onion_easy_1:dc4e2617272e,onion_easy_1,custom,2,5
custom:onion_easy_2:4b6aaa7afef9,onion_easy_2,custom,2,5
named:chavez_room,chavez_room,named,2,6
custom:custom_easy_coop:16b44f11b914,custom_easy_coop,custom,2,6
custom:custom_hallway:08ee62c2158f,custom_hallway,custom,2,6
custom:custom_kitchen_sink:093741b39cf1,custom_kitchen_sink,custom,2,6
named:simple_o,simple_o,named,3,6
custom:tomato_hard_3:b2c6c4f419ff,tomato_hard_3,custom,2,6
custom:dos_ollas:f036785c8431,dos_ollas,custom,2,7
custom:isla_central:08c322e38fad,isla_central,custom,2,7
named:jamcy_room,jamcy_room,named,2,7
