episode_id,layout,seed,role_swap,soups,first_soup_timestep,last_soup_timestep,timeouts,penalty,attempt_score,partner,agent_index
0,coordination_ring,67,False,8,62,243,0,0,80258.0,greedy_full_task,0
1,coordination_ring,68,False,8,62,243,0,0,80258.0,greedy_full_task,0
2,coordination_ring,69,False,8,62,243,0,0,80258.0,greedy_full_task,0
0,coordination_ring,67,False,6,54,249,0,0,60206.0,greedy_full_task_noise_015,0
1,coordination_ring,68,False,6,53,220,0,0,60497.0,greedy_full_task_noise_015,0
2,coordination_ring,69,False,6,52,228,0,0,60418.0,greedy_full_task_noise_015,0
0,coordination_ring,67,False,3,127,248,0,0,30143.0,random_motion,0
1,coordination_ring,68,False,4,95,226,0,0,40395.0,random_motion,0
2,coordination_ring,69,False,4,102,224,0,0,40408.0,random_motion,0
0,coordination_ring,67,False,0,,,0,0,0.0,stay,0
1,coordination_ring,68,False,0,,,0,0,0.0,stay,0
2,coordination_ring,69,False,0,,,0,0,0.0,stay,0
0,cramped_room,67,False,6,44,223,0,0,60476.0,greedy_full_task,0
1,cramped_room,68,False,6,42,223,0,0,60478.0,greedy_full_task,0
2,cramped_room,69,False,6,40,229,0,0,60420.0,greedy_full_task,0
0,cramped_room,67,False,4,44,221,0,0,40496.0,greedy_full_task_noise_015,0
1,cramped_room,68,False,6,39,229,0,0,60421.0,greedy_full_task_noise_015,0
2,cramped_room,69,False,6,48,228,0,0,60422.0,greedy_full_task_noise_015,0
0,cramped_room,67,False,5,40,218,0,0,50530.0,random_motion,0
1,cramped_room,68,False,5,46,222,0,0,50484.0,random_motion,0
2,cramped_room,69,False,5,51,226,0,0,50439.0,random_motion,0
0,cramped_room,67,False,4,51,202,0,0,40679.0,stay,0
1,cramped_room,68,False,4,49,211,0,0,40591.0,stay,0
2,cramped_room,69,False,5,46,246,0,0,50244.0,stay,0
0,forced_coordination,67,False,0,,,0,0,0.0,greedy_full_task,0
1,forced_coordination,68,False,0,,,0,0,0.0,greedy_full_task,0
2,forced_coordination,69,False,0,,,0,0,0.0,greedy_full_task,0
0,forced_coordination,67,False,0,,,0,0,0.0,greedy_full_task_noise_015,0
1,forced_coordination,68,False,0,,,0,0,0.0,greedy_full_task_noise_015,0
2,forced_coordination,69,False,0,,,0,0,0.0,greedy_full_task_noise_015,0
0,forced_coordination,67,False,0,,,0,0,0.0,random_motion,0
1,forced_coordination,68,False,0,,,0,0,0.0,random_motion,0
2,forced_coordination,69,False,0,,,0,0,0.0,random_motion,0
0,forced_coordination,67,False,0,,,0,0,0.0,stay,0
1,forced_coordination,68,False,0,,,0,0,0.0,stay,0
2,forced_coordination,69,False,0,,,0,0,0.0,stay,0
