step,mean_soups,zero_soup_rate,pg_loss,entropy,elapsed_s
2048,1.125,0.5,-0.009865,1.1163,5.6
4096,1.1875,0.3125,-0.008689,1.1472,10.7
6144,1.2,0.35,0.006401,1.2719,16.0
8192,1.25,0.45,0.004125,1.2452,21.4
10240,1.35,0.55,-0.002708,1.3232,26.7
12288,1.1,0.65,-0.004939,1.4349,32.0
14336,1.15,0.5,0.000807,1.3712,37.3
16384,0.8,0.55,-0.000634,1.3771,42.4
18432,1.0,0.6,0.011974,1.5406,47.5
20480,1.3,0.5,-0.009433,1.3512,52.7
22528,1.3,0.55,-0.022393,1.5824,57.8
24576,1.1,0.55,0.004442,1.4449,63.1
26624,0.85,0.6,-0.019905,1.5231,68.3
28672,0.75,0.65,-0.012781,1.5487,73.5
30720,0.5,0.8,-0.012074,1.5446,78.7
32768,0.6,0.75,0.021941,1.5262,83.8
34816,0.95,0.65,-0.017001,1.4819,89.1
36864,1.05,0.55,-0.014866,1.5596,94.3
38912,1.0,0.55,-0.014221,1.5301,99.6
40960,0.85,0.6,-0.01108,1.5911,104.5
43008,1.0,0.6,-0.011103,1.5116,109.8
45056,1.1,0.6,-0.009697,1.504,115.0
47104,0.95,0.65,-0.015263,1.5725,120.2
49152,1.0,0.55,-0.015031,1.5129,125.5
51200,1.2,0.45,-0.025378,1.5659,130.7
53248,1.2,0.5,-0.004592,1.5372,135.8
55296,0.95,0.65,-0.016724,1.5531,140.9
57344,0.9,0.6,-0.006072,1.5729,146.0
59392,0.7,0.6,-0.015703,1.6062,151.1
61440,0.35,0.8,-0.0271,1.7133,156.2
63488,0.35,0.9,-0.010105,1.654,161.4
65536,0.35,0.9,-0.019017,1.6499,166.4
67584,0.65,0.7,-0.01719,1.6551,171.6
69632,0.45,0.75,-0.019316,1.6966,176.7
71680,1.0,0.6,0.000858,1.5951,181.8
73728,0.65,0.75,-0.00902,1.6445,187.1
75776,0.5,0.7,-0.005517,1.6814,192.2
77824,0.7,0.6,-0.017716,1.6424,197.3
79872,0.8,0.55,-0.011668,1.6441,202.4
81920,1.3,0.35,-0.019449,1.6349,207.6
83968,0.9,0.5,-0.015022,1.6683,212.7
86016,0.5,0.7,-0.018293,1.665,217.9
88064,0.65,0.7,-0.000915,1.6113,223.2
90112,0.8,0.7,-0.028877,1.6097,228.3
92160,0.6,0.75,0.007392,1.6697,233.4
94208,0.4,0.8,-0.006406,1.6442,238.5
96256,0.5,0.75,-0.006576,1.6835,243.7
98304,0.55,0.75,0.004272,1.6184,248.9
100352,1.0,0.65,-0.005161,1.6197,253.8
102400,1.0,0.65,-0.01296,1.642,258.9
104448,0.85,0.7,-0.013619,1.6339,264.1
106496,0.9,0.75,-0.03009,1.6347,269.2
108544,0.5,0.85,-0.014601,1.6543,274.3
110592,0.65,0.75,-0.022532,1.5647,279.4
112640,0.75,0.7,-0.00913,1.5867,284.5
114688,0.65,0.7,-0.009099,1.5677,289.6
116736,0.55,0.7,-0.008309,1.6284,294.7
118784,0.5,0.7,-0.016056,1.5616,299.9
120832,0.7,0.6,-0.005665,1.5479,305.1
122880,0.95,0.55,-0.03649,1.6213,310.2
124928,0.95,0.6,-0.005773,1.6327,315.4
126976,0.8,0.65,-0.012113,1.5949,320.5
129024,1.2,0.6,-0.00667,1.5286,325.7
131072,0.95,0.7,-0.020676,1.5731,330.8
133120,0.65,0.75,0.010016,1.5573,336.0
135168,0.75,0.65,-0.010188,1.4827,341.3
137216,1.15,0.5,-0.005166,1.5568,346.6
139264,1.15,0.55,-0.028562,1.5729,351.8
141312,1.0,0.65,-0.022235,1.5092,357.0
143360,1.0,0.65,-0.016878,1.628,362.2
145408,0.8,0.7,-0.004085,1.4741,367.5
147456,0.9,0.6,-0.026049,1.5098,372.9
149504,0.55,0.7,-0.007517,1.5442,378.1
151552,0.85,0.65,-0.00539,1.4921,383.3
